site,day,temperature_c,humidity,vibration_index,sparse_count_a,sparse_count_b,risk_score
marsh,50,24.397,0.558,1.417,4,0,17.758
marsh,51,23.582,0.483,0.866,8,4,16.302
marsh,52,24.996,0.573,1.255,12,1,17.743
marsh,53,23.84,0.572,1.53,13,1,20.341
marsh,54,23.553,0.73,1.333,0,1,18.195
marsh,55,26.086,0.56,0.658,16,2,17.825
marsh,56,29.98,0.698,1.294,6,2,22.451
marsh,57,19.106,0.642,0.782,7,0,15.271
marsh,58,23.966,0.518,0.811,15,0,17.035
marsh,59,24.249,0.59,0.867,3,3,16.434
marsh,60,27.05,0.331,1.33,5,5,17.31
harbor,1,26.51,0.904,1.231,2,3,21.229
harbor,2,21.154,0.939,1.299,7,7,23.684
harbor,3,24.104,0.843,1.615,4,0,23.427
harbor,4,24.659,0.883,1.011,0,2,18.25
harbor,5,26.956,0.81,1.19,5,0,22.507
harbor,6,26.955,0.846,0.751,13,3,17.867
harbor,7,27.495,0.853,1.621,0,3,21.018
harbor,8,23.302,0.927,1.674,0,0,19.853
harbor,9,27.469,0.833,1.293,10,1,22.123
harbor,10,26.552,0.98,1.494,7,2,24.75
harbor,11,27.4,0.918,1.491,3,6,22.281
harbor,12,23.195,0.791,1.304,4,1,17.698
harbor,13,27.724,0.861,1.733,0,1,25.941
harbor,14,21.68,0.937,1.268,5,0,21.776
harbor,15,28.963,0.836,1.408,3,0,20.619
harbor,16,24.287,0.939,1.439,1,2,22.431
harbor,17,26.479,0.873,1.543,8,2,25.167
harbor,18,24.99,0.96,1.569,10,0,24.64
harbor,19,23.356,0.942,1.559,19,4,24.847
harbor,20,30.73,0.717,1.183,1,0,22.523
harbor,21,20.387,0.827,1.119,13,5,17.547
harbor,22,25.105,0.713,1.575,12,0,18.015
harbor,23,22.277,0.935,1.197,2,1,21.005
harbor,24,26.952,0.882,1.334,1,9,18.262
harbor,25,21.349,0.804,1.398,5,1,19.015
harbor,26,27.852,0.841,1.501,1,3,24.247
harbor,27,31.572,0.815,1.703,7,2,26.957
harbor,28,25.186,0.77,1.574,3,0,21.814
harbor,29,22.351,0.861,1.477,6,1,21.612
harbor,30,21.091,0.754,1.43,1,0,21.826
harbor,31,23.066,0.872,0.787,6,0,19.893
harbor,32,30.641,0.833,1.176,1,0,21.955
harbor,33,28.06,0.805,1.704,0,3,21.277
harbor,34,25.873,0.98,1.456,1,5,22.21
harbor,35,25.147,0.789,1.541,2,6,20.072
harbor,36,19.591,0.972,1.499,12,0,21.227
harbor,37,20.328,0.904,1.515,5,0,22.466
harbor,38,22.274,0.85,1.35,4,2,19.853
harbor,39,28.358,0.98,1.414,11,0,21.818
harbor,40,25.831,0.879,1.317,5,0,23.175
harbor,41,22.599,0.722,1.37,2,0,18.389
harbor,42,27.579,0.814,1.747,7,0,19.584
harbor,43,26.271,0.796,1.608,15,4,21.5
harbor,44,32.015,0.824,0.902,2,0,21.389
harbor,45,22.017,0.894,1.369,2,0,19.67
harbor,46,26.479,0.804,1.087,1,6,22.085
harbor,47,28.402,0.812,1.5,2,2,20.247
harbor,48,29.316,0.98,1.084,5,4,22.905
harbor,49,21.142,0.719,1.317,7,7,18.277
harbor,50,21.338,0.98,1.268,2,4,20.932
harbor,51,25.562,0.832,1.359,4,4,17.024
harbor,52,26.492,0.92,1.517,3,4,21.003
harbor,53,25.166,0.927,1.045,0,8,20.152
harbor,54,24.542,0.949,0.739,3,0,18.101
harbor,55,28.104,0.98,1.054,0,2,23.998
harbor,56,28.706,0.98,1.816,3,1,26.519
harbor,57,31.658,0.744,1.707,5,0,22.659
harbor,58,24.452,0.919,1.094,20,4,20.135
harbor,59,26.985,0.852,1.164,4,3,23.231
harbor,60,26.712,0.799,1.455,1,5,22.12
campus,1,20.837,0.388,0.533,3,0,12.289
campus,2,18.982,0.36,1.047,2,4,9.526
campus,3,23.015,0.233,0.806,7,4,11.92
campus,4,21.423,0.382,0.579,2,2,12.12
campus,5,28.653,0.221,0.485,2,4,12.824
campus,6,19.442,0.333,0.655,7,1,11.034
campus,7,24.051,0.243,0.509,2,2,10.968
campus,8,24.249,0.334,0.808,9,1,12.457
campus,9,26.232,0.395,0.727,7,5,14.777
campus,10,20.717,0.447,0.796,1,0,11.561
campus,11,23.922,0.311,0.86,1,1,11.374
campus,12,25.183,0.435,0.721,0,1,13.693
campus,13,18.965,0.524,0.981,0,2,12.286
campus,14,20.55,0.418,1.073,3,3,10.582
campus,15,23.067,0.287,0.83,0,6,11.04
campus,16,22.355,0.33,0.489,1,1,8.82
campus,17,23.454,0.278,0.86,9,0,10.868
campus,18,14.574,0.322,0.175,4,3,6.193
campus,19,31.245,0.418,0.85,2,7,15.286
campus,20,20.934,0.218,0.553,3,6,7.199
campus,21,23.111,0.269,0.488,1,0,8.4
campus,22,17.306,0.226,0.956,1,3,6.583
campus,23,19.206,0.455,0.334,1,2,7.516
campus,24,23.11,0.291,0.721,2,0,11.772
campus,25,25.861,0.377,0.784,2,0,13.875
campus,26,19.418,0.239,0.722,9,1,14.085
campus,27,26.646,0.409,0.895,12,2,14.095
campus,28,26.826,0.558,0.294,3,0,14.54
campus,29,21.883,0.251,0.6,6,1,11.6
campus,30,23.823,0.472,0.417,1,1,8.717
campus,31,18.227,0.299,0.862,0,1,8.612
campus,32,21.227,0.527,0.933,1,8,11.842
campus,33,26.621,0.418,0.543,0,1,14.88
campus,34,23.856,0.414,0.911,6,4,12.214
campus,35,21.935,0.466,0.611,1,0,10.765
campus,36,25.959,0.488,1.058,9,4,14.075
campus,37,25.233,0.212,0.865,2,2,10.965
campus,38,19.116,0.415,1.005,8,3,14.505
campus,39,20.569,0.435,0.393,2,0,13.327
campus,40,23.345,0.301,0.848,0,3,8.969
campus,41,23.632,0.426,0.638,11,3,11.584
campus,42,20.729,0.343,0.683,0,3,13.461
campus,43,15.769,0.312,0.865,2,6,5.95
campus,44,20.355,0.382,1.041,4,2,12.678
campus,45,19.646,0.434,1.167,3,0,11.32
campus,46,29.939,0.357,0.51,1,0,12.331
campus,47,18.082,0.439,0.902,1,0,8.121
campus,48,22.004,0.401,1.255,9,1,15.855
campus,49,25.182,0.232,0.962,1,1,8.744
campus,50,16.767,0.374,0.924,4,1,12.418
campus,51,29.939,0.297,0.864,2,4,14.541
campus,52,25.438,0.379,0.951,0,0,15.042
campus,53,23.089,0.274,0.176,7,2,6.737
campus,54,26.924,0.355,0.763,1,2,12.018
campus,55,18.058,0.388,1.134,3,1,11.535
campus,56,26.572,0.393,0.575,1,0,12.363
campus,57,27.111,0.445,0.198,2,5,12.744
campus,58,22.593,0.366,0.466,10,2,10.883
campus,59,28.513,0.197,0.783,0,3,11.884
campus,60,22.427,0.264,0.389,0,0,5.903
airfield,1,24.1,0.754,1.437,6,0,20.331
airfield,2,28.303,0.75,1.035,2,1,17.342
airfield,3,20.02,0.681,0.908,5,4,13.751
airfield,4,24.742,0.685,1.135,12,2,19.854
airfield,5,26.594,0.74,1.117,6,1,19.135
airfield,6,28.137,0.619,1.273,5,0,21.39
airfield,7,32.482,0.677,1.369,0,1,18.922
airfield,8,22.152,0.664,1.063,2,3,20.584
airfield,9,23.511,0.708,0.861,10,2,16.76
airfield,10,34.822,0.707,1.172,2,11,21.355
airfield,11,29.756,0.702,1.579,4,3,23.147
airfield,12,22.291,0.633,1.046,9,4,14.78
airfield,13,23.148,0.521,1.277,2,0,15.977
airfield,14,25.0,0.626,1.034,1,2,20.262
airfield,15,28.404,0.773,1.065,8,0,20.629
airfield,16,26.663,0.688,1.371,9,1,21.367
airfield,17,23.263,0.775,1.053,20,8,21.33
airfield,18,24.835,0.766,1.534,0,5,21.89
airfield,19,28.087,0.72,1.357,4,1,19.917
airfield,20,18.966,0.844,1.482,29,0,20.079
airfield,21,25.088,0.697,1.127,4,4,17.111
airfield,22,22.673,0.8,1.127,5,2,20.659
airfield,23,23.575,0.793,1.545,2,0,22.802
airfield,24,27.846,0.791,1.022,3,2,19.606
airfield,25,23.191,0.702,0.974,7,0,19.42
airfield,26,21.077,0.673,0.99,2,4,17.75
airfield,27,23.381,0.704,1.194,0,3,18.432
airfield,28,19.519,0.618,1.49,2,1,18.68
airfield,29,29.975,0.732,1.527,1,1,18.791
airfield,30,23.065,0.701,1.518,1,3,20.188
airfield,31,23.509,0.679,1.209,8,4,19.893
airfield,32,24.135,0.74,1.127,0,0,18.974
airfield,33,15.935,0.619,1.183,2,5,13.337
airfield,34,26.035,0.644,1.671,1,2,20.47
airfield,35,27.744,0.603,1.178,0,2,20.309
airfield,36,16.818,0.742,1.206,3,0,16.711
airfield,37,22.812,0.881,1.408,3,7,21.913
airfield,38,26.623,0.644,1.357,1,0,17.677
airfield,39,27.986,0.792,1.216,5,1,18.669
airfield,40,22.719,0.665,1.322,0,0,19.743
airfield,41,27.124,0.586,1.337,2,0,18.595
airfield,42,24.451,0.791,1.226,14,1,21.221
airfield,43,25.44,0.687,0.927,8,2,18.78
airfield,44,25.775,0.732,1.444,2,1,16.207
airfield,45,26.141,0.806,1.027,0,0,19.69
airfield,46,27.259,0.702,1.112,0,1,17.351
airfield,47,27.002,0.71,1.05,1,4,19.443
airfield,48,26.638,0.796,1.467,2,3,19.223
airfield,49,28.827,0.665,1.656,1,4,22.765
airfield,50,24.694,0.652,1.532,13,1,19.361
airfield,51,25.943,0.844,1.2,4,0,20.804
airfield,52,27.029,0.675,1.329,29,0,23.189
airfield,53,21.099,0.612,1.221,0,7,16.24
airfield,54,26.561,0.617,1.274,6,2,20.133
airfield,55,23.098,0.706,1.051,3,2,20.927
airfield,56,20.969,0.85,0.807,5,1,16.244
airfield,57,26.093,0.892,1.536,6,1,19.677
airfield,58,30.478,0.648,1.28,0,6,21.297
airfield,59,26.069,0.576,1.616,3,2,19.35
airfield,60,29.156,0.686,0.998,9,0,18.73
